name,id,nametype,recclass,mass,fall,year,reclat,reclong,geolocation
Aachen,1,Valid,L5,21,Fell,1880-01-01T00:00:00.000,50.775000,6.083330,"{'type': 'Point', 'coordinates': [6.08333, 50.775]}"
Aarhus,2,Valid,H6,720,Fell,1951-01-01T00:00:00.000,56.183330,10.233330,"{'type': 'Point', 'coordinates': [10.23333, 56.18333]}"
Abee,6,Valid,EH4,107000,Fell,1952-01-01T00:00:00.000,54.216670,-113.000000,"{'type': 'Point', 'coordinates': [-113, 54.21667]}"
Acapulco,10,Valid,Acapulcoite,1914,Fell,1976-01-01T00:00:00.000,16.883330,-99.900000,"{'type': 'Point', 'coordinates': [-99.9, 16.88333]}"
Achiras,370,Valid,L6,780,Fell,1902-01-01T00:00:00.000,-33.166670,-64.950000,"{'type': 'Point', 'coordinates': [-64.95, -33.16667]}"
Adhi Kot,379,Valid,EH4,4239,Fell,1919-01-01T00:00:00.000,32.100000,71.800000,"{'type': 'Point', 'coordinates': [71.8, 32.1]}"
Adzhi-Bogdo (stone),390,Valid,LL3-6,910,Fell,1949-01-01T00:00:00.000,44.833330,95.166670,"{'type': 'Point', 'coordinates': [95.16667, 44.83333]}"
Agen,392,Valid,H5,30000,Fell,1814-01-01T00:00:00.000,44.216670,0.616670,"{'type': 'Point', 'coordinates': [0.61667, 44.21667]}"
Aguada,398,Valid,L6,1620,Fell,1930-01-01T00:00:00.000,-31.600000,-65.233330,"{'type': 'Point', 'coordinates': [-65.23333, -31.6]}"
Aguila Blanca,417,Valid,L,1440,Fell,1920-01-01T00:00:00.000,-30.866670,-64.550000,"{'type': 'Point', 'coordinates': [-64.55, -30.86667]}"
Aioun el Atrouss,423,Valid,Diogenite-pm,1000,Fell,1974-01-01T00:00:00.000,16.398060,-9.570280,"{'type': 'Point', 'coordinates': [-9.57028, 16.39806]}"
Aïr,424,Valid,L6,24000,Fell,1925-01-01T00:00:00.000,19.083330,8.383330,"{'type': 'Point', 'coordinates': [8.38333, 19.08333]}"
Aire-sur-la-Lys,425,Valid,Unknown,,Fell,1769-01-01T00:00:00.000,50.666670,2.333330,"{'type': 'Point', 'coordinates': [2.33333, 50.66667]}"
Akaba,426,Valid,L6,779,Fell,1949-01-01T00:00:00.000,29.516670,35.050000,"{'type': 'Point', 'coordinates': [35.05, 29.51667]}"
Akbarpur,427,Valid,H4,1800,Fell,1838-01-01T00:00:00.000,29.716670,77.950000,"{'type': 'Point', 'coordinates': [77.95, 29.71667]}"
Akwanga,432,Valid,H,3000,Fell,1959-01-01T00:00:00.000,8.916670,8.433330,"{'type': 'Point', 'coordinates': [8.43333, 8.91667]}"
Akyumak,433,Valid,"Iron, IVA",50000,Fell,1981-01-01T00:00:00.000,39.916670,42.816670,"{'type': 'Point', 'coordinates': [42.81667, 39.91667]}"
Al Rais,446,Valid,CR2-an,160,Fell,1957-01-01T00:00:00.000,24.416670,39.516670,"{'type': 'Point', 'coordinates': [39.51667, 24.41667]}"
Al Zarnkh,447,Valid,LL5,700,Fell,2001-01-01T00:00:00.000,13.660330,28.960000,"{'type': 'Point', 'coordinates': [28.96, 13.66033]}"
Alais,448,Valid,CI1,6000,Fell,1806-01-01T00:00:00.000,44.116670,4.083330,"{'type': 'Point', 'coordinates': [4.08333, 44.11667]}"
Albareto,453,Valid,L/LL4,2000,Fell,1766-01-01T00:00:00.000,44.650000,11.016670,"{'type': 'Point', 'coordinates': [11.01667, 44.65]}"
Alberta,454,Valid,L,625,Fell,1949-01-01T00:00:00.000,2.000000,22.666670,"{'type': 'Point', 'coordinates': [22.66667, 2]}"
Alby sur Chéran,458,Valid,Eucrite-mmict,252,Fell,2002-01-01T00:00:00.000,45.821330,6.015330,"{'type': 'Point', 'coordinates': [6.01533, 45.82133]}"
Aldsworth,461,Valid,LL5,700,Fell,1835-01-01T00:00:00.000,51.783330,-1.783330,"{'type': 'Point', 'coordinates': [-1.78333, 51.78333]}"
Aleppo,462,Valid,L6,3200,Fell,1873-01-01T00:00:00.000,36.233330,37.133330,"{'type': 'Point', 'coordinates': [37.13333, 36.23333]}"
Alessandria,463,Valid,H5,908,Fell,1860-01-01T00:00:00.000,44.883330,8.750000,"{'type': 'Point', 'coordinates': [8.75, 44.88333]}"
Alexandrovsky,465,Valid,H4,9251,Fell,1900-01-01T00:00:00.000,50.950000,31.816670,"{'type': 'Point', 'coordinates': [31.81667, 50.95]}"
Alfianello,466,Valid,L6,228000,Fell,1883-01-01T00:00:00.000,45.266670,10.150000,"{'type': 'Point', 'coordinates': [10.15, 45.26667]}"
